id,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price_eur_per_night,price_unit,distance_to_oktoberfest_km,distance_band,oktoberfest_observed_days,oktoberfest_available_days,available_during_observed_oktoberfest
1231246532381391901,Bogenhausen,48.14032711066324,11.646047042801955,Entire home/apt,3,14,0.65,42,493.0,EUR per night,7.225524690124408,5-10 km from Oktoberfest,,,
1231876338805094962,Ludwigsvorstadt-Isarvorstadt,48.1293,11.55819,Entire home/apt,1,3,0.15,139,445.0,EUR per night,0.7067669912092087,0-2 km from Oktoberfest,,,
1231941167907689229,Ludwigsvorstadt-Isarvorstadt,48.12720533002326,11.56256318084349,Entire home/apt,2,3,0.14,179,150.0,EUR per night,1.101115630338423,0-2 km from Oktoberfest,,,
1232390066983638788,Aubing-Lochhausen-Langwied,48.17926,11.40311,Private room,2,86,4.88,225,68.0,EUR per night,12.068671800649991,10+ km from Oktoberfest,,,
1232433475076833668,Feldmoching-Hasenbergl,48.19880038692344,11.55087190632539,Private room,1,11,0.54,106,115.0,EUR per night,7.439679416534191,5-10 km from Oktoberfest,,,
1232446449371448262,Pasing-Obermenzing,48.1457661,11.4667651,Entire home/apt,1,2,0.09,365,360.0,EUR per night,6.329870312278597,5-10 km from Oktoberfest,,,
1232538032949665444,Ludwigsvorstadt-Isarvorstadt,48.13513057807688,11.555113894244242,Entire home/apt,1,141,6.99,363,162.0,EUR per night,0.550098836624461,0-2 km from Oktoberfest,,,
1232637518893608095,Bogenhausen,48.1406636,11.6383297,Private room,2,2,0.09,57,142.0,EUR per night,6.663438750398595,5-10 km from Oktoberfest,,,
1232725750710187667,Obergiesing,48.10467,11.59274,Entire home/apt,2,2,0.09,59,213.0,EUR per night,4.41258312387034,2-5 km from Oktoberfest,,,
1232909733778943258,Milbertshofen-Am Hart,48.18778251730885,11.56402329367413,Entire home/apt,1,2,0.14,356,118.0,EUR per night,6.3065365140849625,5-10 km from Oktoberfest,,,
1233125098734818651,Tudering-Riem,48.10211599272333,11.694276927586849,Entire home/apt,2,5,0.23,151,278.0,EUR per night,11.24621370898013,10+ km from Oktoberfest,,,
1233265323665862788,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08836,11.50758,Private room,1,0,,364,150.0,EUR per night,5.755530214946022,5-10 km from Oktoberfest,,,
1233944172655839683,Allach-Untermenzing,48.174498980370906,11.448862339596904,Entire home/apt,1,3,0.14,282,108.0,EUR per night,8.841491391632065,5-10 km from Oktoberfest,,,
1234171071786502080,Pasing-Obermenzing,48.15979,11.45247,Private room,1,17,0.8,85,71.0,EUR per night,7.838552881397581,5-10 km from Oktoberfest,,,
1235515135857067234,Maxvorstadt,48.15422419999999,11.576109,Entire home/apt,1,15,0.71,7,246.0,EUR per night,3.171739462286998,2-5 km from Oktoberfest,,,
1235993147614805420,Untergiesing-Harlaching,48.10462,11.57387,Entire home/apt,5,0,,34,254.0,EUR per night,3.531884899982493,2-5 km from Oktoberfest,,,
1235999549809634083,Schwanthalerhöhe,48.13501,11.54154,Entire home/apt,1,1,0.07,263,428.0,EUR per night,0.6845004329201246,0-2 km from Oktoberfest,,,
1236028282395082966,Ludwigsvorstadt-Isarvorstadt,48.12876,11.57647,Entire home/apt,3,13,0.61,4,618.0,EUR per night,2.0318235515485488,2-5 km from Oktoberfest,,,
1236072127564568295,Untergiesing-Harlaching,48.11921,11.57483,Entire home/apt,1,0,,30,249.0,EUR per night,2.350686485778199,2-5 km from Oktoberfest,,,
1236090287679709147,Schwabing-West,48.16077053401555,11.57109366063055,Entire home/apt,2,3,0.14,2,363.0,EUR per night,3.587818766795619,2-5 km from Oktoberfest,,,
1236316747857602420,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.102138,11.5362665,Entire home/apt,1,2,0.09,357,250.0,EUR per night,3.4521162278075286,2-5 km from Oktoberfest,,,
1236751844613348366,Allach-Untermenzing,48.19366,11.45513,Private room,1,0,,362,310.0,EUR per night,9.80568983784978,5-10 km from Oktoberfest,,,
1236812451730266680,Obergiesing,48.116331501377175,11.589833870530128,Entire home/apt,2,7,0.33,44,99.0,EUR per night,3.4582518886498894,2-5 km from Oktoberfest,,,
1236918344269885998,Milbertshofen-Am Hart,48.18602811548087,11.568389588603134,Entire home/apt,9,5,0.23,85,350.0,EUR per night,6.179705553539024,5-10 km from Oktoberfest,,,
1237037449120010923,Bogenhausen,48.14740637829232,11.603666131894045,Private room,7,0,,90,95.0,EUR per night,4.3734827227729784,2-5 km from Oktoberfest,,,
1237085584551449826,Ludwigsvorstadt-Isarvorstadt,48.13765979999999,11.5504384,Entire home/apt,1,31,1.49,200,509.0,EUR per night,0.6442353284694904,0-2 km from Oktoberfest,,,
1237095147552033363,Ludwigsvorstadt-Isarvorstadt,48.13765979999999,11.5504384,Entire home/apt,1,77,3.62,244,581.0,EUR per night,0.6442353284694904,0-2 km from Oktoberfest,,,
1237112718915225941,Pasing-Obermenzing,48.14802931620483,11.451610129462622,Entire home/apt,2,24,1.13,179,83.0,EUR per night,7.481753978316057,5-10 km from Oktoberfest,,,
1237444047868903037,Ludwigsvorstadt-Isarvorstadt,48.13219654452412,11.581278822493395,Private room,1,9,0.44,348,125.0,EUR per night,2.358641352899089,2-5 km from Oktoberfest,,,
1237498570610642153,Obergiesing,48.11052,11.59134,Private room,1,20,0.95,79,110.0,EUR per night,3.9111886543660743,2-5 km from Oktoberfest,,,
1237502936249775968,Allach-Untermenzing,48.1733516966889,11.44644093799642,Private room,1,0,,294,130.0,EUR per night,8.927221082964648,5-10 km from Oktoberfest,,,
